question,answer
"Question: Mesothelioma is seen in which type of pneumoconiosis:
Choices:
A. Anthracosis
B. Byssinosis
C. Asbestosis
D. Silicosis
Answer:",Asbestosis
"Question: Mesothelioma associated with which variety of asbestos -
Choices:
A. Serpentine
B. Amphibole
C. Both the above
D. None of the above
Answer:",Amphibole
"Question: Which form of asbestos is most commonly associated with maximum risk of Mesothelioma?
Choices:
A. Chrysolite
B. Amosite
C. Anthophyllite
D. Crocidolite
Answer:",Crocidolite
"Question: Mesothelioma is closely associated with which of the following: September 2011, March 2013 (f, h)
Choices:
A. Silicosis
B. Anthracosis
C. Byssinosis
D. Asbestosis
Answer:",Asbestosis
"Question: Mesothelioma is caused by -
Choices:
A. Asbestosis
B. Silicosis
C. Baggasosis
D. Anthracosis
Answer:",Asbestosis
"Question: Primary pleural tumor is -a)  Mesotheliomab)  Myxomac)  Lipomad)  Fibroma
Choices:
A. b
B. c
C. ac
D. ad
Answer:",ad
"Question: Asbestosis is usually related to -a) Small cell carcinoma lungb) Large cell carcinoma lungc) Mesotheliomad) Squamous cell carcinoma lung
Choices:
A. cd
B. bc
C. bd
D. ac
Answer:",cd
"Question: Mesothelioma associated with which variety of asbestos ?
Choices:
A. Serpentine
B. Amphibole
C. Both the above
D. None of the above
Answer:",Amphibole
"Question: Mucopolysaccharidoses are caused by
Choices:
A. An increased rate of synthesis of proteoglycans
B. Defects in the degradation of proteoglycans
C. The synthesis of polysaccharides with an altered structure
D. An insufficient amount of proteolytic enzymes
Answer:",Defects in the degradation of proteoglycans
"Question: Mucormycosis-
Choices:
A. Angio-invasion
B. Lymph invasion
C. Septate hyphae
D. All
Answer:",Angio-invasion
"Question: Mucormycosis -a) Angio-invasionb) Lymph invasionc) Septate hyphaed) Long term deferoxamine therapy is predisposing factore) It may lead to blindness
Choices:
A. acd
B. ade
C. abd
D. ad
Answer:",ade
"Question: True about Mucormycosis is
Choices:
A. Angioinvasion
B. Lymph invasion
C. Septate hyphae
D. Long term deferoxamine therapy is predisposing factor
Answer:",Angioinvasion
"Question: Rhinocerebral Mucormycosis is present with:
Choices:
A. Broad spectrum antibiotic use
B. Pregnancy
C. Diabetic ketoacidosis
D. Renal tubular acidosis
Answer:",Diabetic ketoacidosis
"Question: Mucormycosis is caused by:
Choices:
A. Rhizopus arrhizus
B. Rhizopus oryzae
C. Absidia corymbifera
D. All of the above
Answer:",All of the above
"Question: Mucormycosis of paranasal sinus is most common in?
Choices:
A. HIV
B. Diabetes
C. Those on immuno suppressants
D. Post surgical
Answer:",Diabetes
"Question: Mucormycosis is caused by
Choices:
A. Rhizopus arrhizus
B. Rhizopus oryzae
C. Absidia corymbifera
D. All of the above
Answer:",All of the above
"Question: Mucormycosis of paranasal sinus is most common in
Choices:
A. HIV
B. Diabetes
C. Those on immuno suppressants
D. Post surgical
Answer:",Diabetes
"Question: Not a feature of Ocular Mucous Membrane Pemphigoid
Choices:
A. Loss of fornices
B. Lid: Trichaiasis& Entropion
C. Involvement of mucosa of mouth
D. Type 1 hypersensitivity
Answer:",Type 1 hypersensitivity
"Question: The most common translocation seen in patients with Multiple Myeloma is
Choices:
A. t(11;14)
B. t(4;14)
C. t(14;16)
D. t(14;20)
Answer:",t(11;14)
"Question: All of the following are poor prognostic factors in Multiple Myeloma, Except:
Choices:
A. Azotemia
B. Hypocalcemia
C. LDH
D. High M component production
Answer:",Hypocalcemia
"Question: Bone scan of a patient with Multiple Myeloma shows
Choices:
A. Diffusely increased uptake
B. Diffusely decreased uptake
C. Hot spots
D. Cold spots
Answer:",Cold spots
"Question: The immunoglobulin most commonly involved in Multiple Myeloma is :
Choices:
A. IgG
B. IgM
C. IgA
D. IgD
Answer:",IgG
"Question: The most common translocation associated with poor prognosis in patients with Multiple Myeloma is
Choices:
A. t(11;14)
B. t(4;14)
C. t(14;16)
D. t(14;20)
Answer:",t(4;14)
"Question: The immunoglobulin least commonly involved in Multiple Myeloma is:
Choices:
A. IgG
B. IgM
C. IgA
D. IgD
Answer:",IgD
"Question: Which of the following is the least common feature of Multiple Myeloma:
Choices:
A. Bone pain
B. Normocytic Normochromic Anemia
C. Susceptibility to bacterial infection
D. Hyperviscosity syndrome
Answer:",Hyperviscosity syndrome
"Question: Which of the following is the least common feature of Multiple Myeloma -
Choices:
A. Bone pain
B. Normocytic Normochromic Anemia
C. Susceptibility to bacterial Infection
D. Hyperviscosity syndrome
Answer:",Hyperviscosity syndrome
"Question: Which of the following may be seen in Multiple Myeloma:
Choices:
A. Decreased Calcium
B. Sclerotic bone lesion
C. Bone deposition
D. Renal failure
Answer:",Renal failure
"Question: Which is true about Multiple Myeloma?
Choices:
A. M spike increase
B. Direct plasma cell deposition in glomerular capillaries leads to kidney damage
C. IL 8 is a marker for bone lesions
D. Invariablly increase in alkaline Phosphatase
Answer:",M spike increase
"Question: Investigation not useful in Multiple Myeloma
Choices:
A. CT SCAN
B. MRI
C. BONE SCAN
D. PET
Answer:",BONE SCAN
"Question: A drug not effective in Multiple Myeloma is?
Choices:
A. Boezomib
B. Hydroxyurea
C. Melphalan
D. Cylcophosphamide
Answer:",Hydroxyurea
"Question: Which of the major histocompatibility antigens is associated with an increased risk of Multiple Sclerosis?
Choices:
A. A3
B. B27
C. DR2
D. DR3
Answer:",DR2
"Question: Most Common presentation of Multiple Sclerosis is
Choices:
A. Optic neurosis
B. Intemuclear ophthalmoplegia
C. Transverse myelitis
D. Clinically isolated syndrome
Answer:",Clinically isolated syndrome
"Question: Multiple Sclerosis is
Choices:
A. Toxic disorder
B. Infectious disorder
C. Degenerative disorder
D. Demylinating disorder
Answer:",Demylinating disorder
"Question: Demyelination is the major feature of Multiple Sclerosis. Which of the following cells forms myelin in the central nervous system?
Choices:
A. Astrocytes
B. Ependymal cells
C. Microglia
D. OIigodendrocytes
Answer:",OIigodendrocytes
"Question: Which of the following is used in the treatment of Multiple Sclerosis:
Choices:
A. Interferon Alpha
B. Interferon Beta
C. Infliximab
D. Interferon gamma
Answer:",Interferon Beta
"Question: Most common manifestation of Multiple Sclerosis is
Choices:
A. Weakness
B. Ataxia
C. Optic neuritis
D. Inter neuclear ophthalmoplegia
Answer:",Optic neuritis
"Question: Which of the following drugs is not recommended for the treatment of Multiple Sclerosis:
Choices:
A. Interferon p-1 a
B. Interferon p-lb
C. Glatiramer Acetate
D. Mycophenolate
Answer:",Interferon p-lb
"Question: The most common clinical manifestation of Multiple Sclerosis is
Choices:
A. Intemuclear Ophthalmoplegia
B. Ataxia
C. Optic Neuritis
D. Diplopia
Answer:",Optic Neuritis
"Question: Multiple Sclerosis is associated with all of the following, Except
Choices:
A. Hydrocephalus
B. Optic Neuritis
C. Spasticity
D. Spinal cord involvement
Answer:",Hydrocephalus
"Question: Which of the following is false regarding Multiple Sclerosis (MS)?
Choices:
A. More common in women and age of onset is between 20-40 years of age
B. Risk factors include vitamin D deficiency and cigarette smoking
C. Pathological hallmark is axonal degeneration
D. HLA DRB1 in MHC class II is associated with 10% of disease risk
Answer:",Pathological hallmark is axonal degeneration
"Question: Incubation period of Mumps -
Choices:
A. 4-5 days
B. 7-15 days
C. 12-24 days
D. 50 days
Answer:",12-24 days
"Question: All are true regarding Mumps, EXCEPT
Choices:
A. Incubation period 18-21 days
B. Extensive tissue damage
C. Multiplies in respiratory epithelium
D. Spreads through Stenson's duct to Parotid gland
Answer:",Spreads through Stenson's duct to Parotid gland
"Question: Strain used in Mumps vaccine?
Choices:
A. Edmonsten Zagreb
B. Urabe
C. Jeryl Lynn
D. Danish 1331
Answer:",Jeryl Lynn
"Question: Mumps most commonly affects the: March 2004
Choices:
A. Parotid gland
B. Submandibular gland
C. Sublingual gland
D. Lacrimal gland
Answer:",Parotid gland
"Question: Strain used in Mumps vaccine
Choices:
A. Oka
B. Jeryl Lynn
C. Danish 1331
D. Edmonston Zagreb
Answer:",Jeryl Lynn
"Question: Which is the commonest complication of Mumps in adults ?
Choices:
A. Encephalitis
B. Orchitis
C. Pancreatitis
D. Carditis
Answer:",Orchitis
"Question: Most common complications of Mumps is
Choices:
A. Orchitis and Oophoritis
B. Encephalitis
C. Pneumonia
D. Myocarditis
Answer:",Orchitis and Oophoritis
"Question: The strain used in Mumps vaccine is
Choices:
A. Jeryl Lynn
B. Edmonston Zagreb
C. RA 27/3
D. Oka
Answer:",Jeryl Lynn
"Question: Mumps is caused by:
Choices:
A. Orthomyxo virus
B. Paramyxo virus
C. Rheno virus
D. EB virus
Answer:",Paramyxo virus
"Question: Virus causing acute onset sensorineural deafness -a) Corona virusb) Rubella, measlesc) Mumpsd) Adeno viruse) Rota virus
Choices:
A. a
B. bc
C. ac
D. ad
Answer:",bc
"Question: Incubation period of Mumps is
Choices:
A. 7 days
B. 18 days
C. 10 days
D. 14 days
Answer:",18 days
"Question: Which of the following is not true about Mumps: March 2007
Choices:
A. Caused by paramyxovirus
B. Incubation period is less than 14 days
C. Orchitis is a common complication in males
D. Aseptic meningitis is a commoner complication in children
Answer:",Incubation period is less than 14 days
"Question: Which receptors are blocked in Myasthenia Gravis.
Choices:
A. Ach receptors
B. Calcium receptors
C. Sodium receptors
D. Opioid receptors
Answer:",Ach receptors
"Question: All of the following statements about Myasthenia Gravis are true, except:
Choices:
A. Anti-AChR antibodies are the most common antibodies in generalized myasthenia gravis
B. The pathogenic Anti-AChR antibodies are IgG antibodies
C. Anti-MuSK antibodies are directed against muscarinic ACh receptors
D. The major defect is a decrease in the number of available ACh receptors
Answer:",Anti-MuSK antibodies are directed against muscarinic ACh receptors
"Question: Agent used for eliciting diagnostic differentiation of Myasthenia Gravis from Cholinergic crisis is:-
Choices:
A. Ecothiophate
B. Edrophonium
C. Neostigmine
D. Ambenonium
Answer:",Edrophonium
"Question: Agent used for eliciting diagnostic differentiation of Myasthenia Gravis from Cholinergic crisis is
Choices:
A. Neostigmine
B. Ecothiophate
C. Edrophonium
D. Ambenonium
Answer:",Edrophonium
"Question: Which receptors are blocked in Myasthenia Gravis?
Choices:
A. Ach receptor
B. Ca++ receptors
C. Na+ receptors
D. Opioid receptors
Answer:",Ach receptor
"Question: Diagnosis of Myasthenia Gravis is by using -
Choices:
A. Edrophonium
B. Neostigmine
C. Succinylcholine (SCh)
D. Atropine
Answer:",Edrophonium
"Question: Which of the following immune hypersensitivity reaction is resonsible for Myasthenia Gravis -
Choices:
A. Type I Hypersensitivity
B. Type II Hypersensitivity
C. Type III Hypersensitivity
D. Type IV Hypersensitivity
Answer:",Type II Hypersensitivity
"Question: Which of the following immune hypersensitivity reaction is resonsible for Myasthenia Gravis ?
Choices:
A. Type I Hypersensitivity
B. Type II Hypersensitivity
C. Type III Hypersensitivity
D. Type IV Hypersensitivity
Answer:",Type II Hypersensitivity
"Question: All of the following are WHO classified Myelodysplastic Syndromes except:
Choices:
A. CML
B. Refractory anemia with excess blasts
C. Refractory anemia with ringed sideroblasts
D. Refractory anemia
Answer:",CML
"Question: Which of the following is true about Diphtheria except-a) Faucial diphtheria is more dangerous than laryngeal diphtheriab) Laryngeal diphtheria mandates tracheotomyc) Child is more toxic with faucial diphtheriad) Myocarditis may be a complicatione) Palatal paralysis is irreversible
Choices:
A. abc
B. bcd
C. abe
D. acd
Answer:",abe
"Question: Myocarditis can be caused by -
Choices:
A. Schistosomia
B. Ankylostoma duodenale
C. Trichuris trichura
D. Trichinella spiralis
Answer:",Trichinella spiralis
"Question: Chromosome involved in Myotonic Dystrophy is
Choices:
A. Chromosome 19
B. Chromosome 20
C. Chromosome 21
D. Chromosome 22
Answer:",Chromosome 19
"Question: All of the following statements about inheritance of Myotonic Dystrophy are true, except:
Choices:
A. Type 1 is caused by mutation in DMPK gene
B. Type 2 is caused by mutation in CNBP gene
C. Type 2 gene is located on Chromosome 19
D. Type 1 is caused by a CTG trinucleotide repeat expansion
Answer:",Type 2 gene is located on Chromosome 19
"Question: Which of the following drug is an inverse agonist at H3 receptors used for Narcolepsy?
Choices:
A. Dexmedetomidine
B. Pitolisant
C. Icatibont
D. Secukinumab
Answer:",Pitolisant
"Question: Not seen in Narcolepsy:
Choices:
A. Sleep paralysis
B. Sleep attack
C. Catalepsy
D. Cataplexy
Answer:",Catalepsy
"Question: Narcolepsy is due to an abnormality in -
Choices:
A. Hypothalamus
B. Neocortex
C. Cerebellum
D. Medulla oblongata
Answer:",Hypothalamus
"Question: Which of the following is the most impoant pa of brain involved in Narcolepsy
Choices:
A. Neocoex
B. Hypothalamus
C. Hippocampus
D. Pons
Answer:",Hypothalamus
"Question: Drug of choice for Narcolepsy
Choices:
A. Modafinil
B. Sildenafil
C. Disulfiram
D. Dexemedotimidine
Answer:",Modafinil
"Question: Narcolepsy is due to the abnormality in
Choices:
A. Hypothalamus
B. Neocoex
C. Cerebellum
D. Medulla oblongata
Answer:",Hypothalamus
"Question: Narcolepsy is associated with?
Choices:
A. Decreased NREM sleep
B. Hypnagogic hallucination
C. Late age of onset
D. Normal sleep architecture
Answer:",Hypnagogic hallucination
"Question: Narcolepsy is due to abnormality in ?
Choices:
A. Hypothalamus
B. Neocoex
C. Cerebellum
D. Medulla oblongata
Answer:",Hypothalamus
"Question: Not true about Narcolepsy is
Choices:
A. Cataplexy
B. Sleep architecture normal
C. Loss of muscle tone
D. Hallucination
Answer:",Sleep architecture normal
"Question: Narcolepsy is due to abnormality in
Choices:
A. Hypothalamus
B. Neocoex
C. Cerebellum
D. Medulla oblongata
Answer:",Hypothalamus
"Question: Narcolepsy is?
Choices:
A. Sleep walking
B. Sleeptalking
C. Increased day time sleep
D. Sleep terrors
Answer:",Increased day time sleep
"Question: Narcolepsy is characterized by all of the folowing except -
Choices:
A. Sleep paralys is
B. Cataplexy
C. Hallucination
D. Snoring
Answer:",Snoring
"Question: All of the followings are true about Narcolepsy; except:
Choices:
A. Strong association with HLA class II
B. Sudden loss of voluntary muscle tone
C. NREM abnormality
D. Irresistible desire to sleep
Answer:",NREM abnormality
"Question: Narcolepsy is due to abnormality in -
Choices:
A. Hypothalamus
B. Neocortex
C. Cerebellum
D. Medullaoblongata
Answer:",Hypothalamus
"Question: NOT seen in Narcolepsy
Choices:
A. Sleep paralysis
B. Ataxia
C. Catalepsy
D. Abnormal REM sleep
Answer:",Catalepsy
"Question: Narcolepsy is characterized by?
Choices:
A. Increased REM sleep
B. Increased day time sleep
C. Increased night time sleep
D. Normal sleep architecture
Answer:",Increased day time sleep
"Question: Indication for surgery in Necrotizing Enterocolitis is?
Choices:
A. Pneumatosis intestinalis- Stage IIA of NEC
B. Pneumoperitoneum- Stage IIIB of NEC
C. Poal Vein gas- Stage IIB of NEC
D. Peritonitis- Stage IIIA of NEC
Answer:",Pneumoperitoneum- Stage IIIB of NEC
"Question: Causes of Nephrogenic Diabetes Insipidus all except
Choices:
A. Sheehan's syndrome
B. Amyloidosis
C. Polycystic kidney Disease
D. Lithium
Answer:",Sheehan's syndrome
"Question: DOC for lithium induced Nephrogenic Diabetes Insipidus
Choices:
A. Spiranolactone
B. Furosemide
C. Amiloride
D. None of the above
Answer:",Amiloride
"Question: Mainstay of treatment of Nephrogenic Diabetes Insipidus is:
Choices:
A. Desmopressin
B. Thiazide / Amiloride diuretics and salt restriction
C. Desmopressin and salt restriction
D. Vasopressin and salt restriction
Answer:",Thiazide / Amiloride diuretics and salt restriction
"Question: Neurofibromatosis 1 criteria include all except:
Choices:
A. Brain tumor
B. Acoustic neuromas
C. Dysplasia of the sphenoidal and tibial bone
D. Cafe-au-lait spots
Answer:",Acoustic neuromas
"Question: Neurofibromatosis 1 criteria except
Choices:
A. Brain tumor
B. Acoustic neuromas
C. Pseudoarthrosis
D. Café-au-lait spots
Answer:",Acoustic neuromas
"Question: The specific laboratory finding often reflect the clinical manifestations of Neuroleptic Malignant Syndrome (NMS) is
Choices:
A. Elevated Creatine kinase
B. Hypocalcemia
C. Increased Alkaline phosphatase
D. Leukocytosis
Answer:",Elevated Creatine kinase
"Question: Which if the following statements are FALSE regarding Neuroleptic Malignant Syndrome (NMT)?
Choices:
A. Combining Antipsychotics and Antidepressants increased the risk of NMS
B. Increase in Creatinine Phosphokinase (CPK) always indicates NMS
C. First use of Injection anti-psychotic in a risk factor
D. Catatonic symptoms and autonomic dysfunction is a feature of NMS
Answer:",Increase in Creatinine Phosphokinase (CPK) always indicates NMS
"Question: Symptoms of Neuroleptic Malignant Syndrome (NMS) are all of the following except?
Choices:
A. Confusion
B. Hypothermia
C. Diaphoresis
D. Hypertension
Answer:",Hypothermia
"Question: A clinical specimen was obtained from the wound of a patient diagnosed as Nocardiosis. For the selective isolation of Nocardia sp. Which one of the following would be the best method -
Choices:
A. Paraffin bait technique
B. Castaneda's culture method
C. Craige's tube method
D. Hair bait technique
Answer:",Paraffin bait technique
"Question: Ogilvie syndrome is?
Choices:
A. Small bowel obstruction
B. Large bowel obstruction
C. Colonic pseudo-obstruction
D. Bowel ischemia
Answer:",Colonic pseudo-obstruction
"Question: True about Ogilvie syndrome are all except
Choices:
A. It is caused by mechanical obstruction of the colon
B. It involves entire \/ pa of the large colon
C. It occurs after previous surgery
D. It occurs commonly after narcotic use
Answer:",It is caused by mechanical obstruction of the colon
"Question: Most common symptom of Orthostatic Hypotension is
Choices:
A. Vertigo
B. Light headedness
C. Palpitations
D. Blurred vision
Answer:",Light headedness
"Question: Most dangerous Osteogenesis Imperfecta (OI) in utero foetus
Choices:
A. Type 1 OI
B. Type 2 OI
C. Type 3 OI
D. Type 4 OI
Answer:",Type 3 OI
"Question: Most common site for Osteomyelitis:
Choices:
A. Epiphysis
B. Metaphysis
C. Diaphysis
D. Sub-chondral growth plate
Answer:",Metaphysis
"Question: Osteomyelitis can mimic which tumor?
Choices:
A. Osteoclastoma
B. Ewing sarcoma
C. Chondroma
D. None of above
Answer:",Ewing sarcoma
"Question: Earliest X-Ray finding in Osteomyelitis:
Choices:
A. Involucrum
B. Sequestrum
C. Cloacae
D. Periosteal reaction
Answer:",Periosteal reaction
"Question: The following tumors are seen in metaphysis -a) Osteomyelitisb) Osteosarcomac) Chondrosarcomad) Osteoclastomae)  Ewing's sarcoma
Choices:
A. a
B. c
C. bc
D. ad
Answer:",bc
"Question: Which of the following denotes the MANAGEMENT of Acute Osteomyelitis?
Choices:
A. Surgical excision of infected bone
B. Antibiotic treatment soon after taking blood sample
C. Sequestrectomy
D. Amputation
Answer:",Antibiotic treatment soon after taking blood sample
"Question: Osteomyelitis begins as an inflammation of
Choices:
A. Cortical bone
B. Periosteum
C. Medullary bone
D. Periosteum and inner cortex
Answer:",Medullary bone
"Question: Osteomyelitis:
Choices:
A. Never occurs in infants
B. In acute cases fracture mandible is very common
C. Of mandible can show symptoms of lip Paresthesia
D. Produces no tymphadenopathy
Answer:",Of mandible can show symptoms of lip Paresthesia
"Question: Osteomyelitis of spine is caused by most common organism ?
Choices:
A. Staphylococcus aureus
B. Pseudomonas
C. Tuberculosis
D. Streptococcus
Answer:",Staphylococcus aureus
"Question: Acute Osteomyelitis is most commonly caused by -
Choices:
A. Staphylococcus aureus
B. Actinomyces bovis
C. Nocardia asteroids
D. Borrelia vincentii
Answer:",Staphylococcus aureus
"Question: True about HIV, Osteomyelitis is all except -
Choices:
A. Necrosis absent
B. Often bilateral
C. Periosteal new bone formation
D. Most common cause is staph. aureus
Answer:",Necrosis absent
"Question: A patient with which of the follwing disease is predisposed to develop osteosarcoma -a)  Osteomalaciab)  Osteomyelitisc)  Paget's disease of boned)  Osteopetrosis
Choices:
A. a
B. c
C. bc
D. ad
Answer:",bc
"Question: Osteomyelitis first occurs in :-
Choices:
A. Metaphysis
B. Epiphysis
C. Diaphysis
D. All of above
Answer:",Metaphysis
"Question: Osteomyelitis in sickle cell anemia is due to DELETE
Choices:
A. Salmonella
B. Streptococcus
C. Hemophilus
D. Neisseria
Answer:",Salmonella
"Question: Which of the following is not a type of chronic Osteomyelitis:
Choices:
A. Garre's Osteomyelitis.
B. Chronic suppurative Osteomyelitis.
C. Condensing osteitis.
D. None of the above.
Answer:",None of the above.
"Question: Which of the following does not include the clinical features of Chronic Osteomyelitis?
Choices:
A. Excruciating pain and tenderness
B. Non healing bony and overlying soft tissue wounds with indurated soft tissue
C. Wooden character of bone
D. Draining sinuses
Answer:",Excruciating pain and tenderness
"Question: Osteomyelitis of the jaw can be cured by
Choices:
A. Resection
B. Physiotherapy
C. Sequestrectomy with antibiotic treatment
D. Drainage
Answer:",Sequestrectomy with antibiotic treatment
"Question: Most common organism cultured from Acute Osteomyelitis is:
Choices:
A. Gonococcus.
B. Staphylococcus aureus.
C. Staphylococcus albicans.
D. Streptococci.
Answer:",Staphylococcus aureus.
"Question: Osteomyelitis in sickle cell anemia is due to.
Choices:
A. Salmonella
B. Streptococcus
C. Haemophilus
D. Neisseria
Answer:",Salmonella
"Question: An adolescent child complains of night pain in the knee. It could be due to –a) Juvenile rheumatoid arthritisb) Idiopathic growth painc) Osteosarcomad) Paget's diseasee) Osteomyelitis
Choices:
A. a
B. ac
C. ad
D. b
Answer:",ac
"Question: Fracture of talus without displacement in x-ray would lead to -a) Osteoarthritis of ankleb) Osteonecrosis of head of talusc) Avascular necrosis of body of talusd) Avascular necrosis of neck of taluse) Non union
Choices:
A. ac
B. bc
C. ad
D. b
Answer:",ac
"Question: Osteonecrosis is not seen in -
Choices:
A. Olliers disease
B. Kienboch
C. Kohlers disease
D. Perthes disease
Answer:",Olliers disease
"Question: keinbock Osteonecrosis, all true except
Choices:
A. Tenderness over base of 3rd metacarpall is present
B. Pain is more on wrist flexion than wrist extension
C. Is the osteochondritis of lunate
D. common age group 20-40
Answer:",Pain is more on wrist flexion than wrist extension
"Question: Osteonecrosis of femoral head seen in -a) Sickle cell diseaseb) Gaucher's diseasec) Polycythemiad) Hyperparathyroidisme) Fracture
Choices:
A. bcde
B. abcd
C. acde
D. abce
Answer:",abce
"Question: Osteopetrosis is also known as:
Choices:
A. Albers Schonberg disease
B. Marble bone disease
C. Fragilis generalisata
D. All of the above
Answer:",All of the above
"Question: Osteosarcoma can arise from:
Choices:
A. Diaphysis
B. Epiphysis
C. Metaphysis
D. All of the above
Answer:",Metaphysis
"Question: Age group affected by Osteosarcoma
Choices:
A. Up-to 10 yrs
B. 10 -20 yrs
C. 30-40 yrs
D. Older than 45 yrs
Answer:",10 -20 yrs
"Question: Which of the following is not true in relation to Osteosarcoma?
Choices:
A. Paget's disease & prior irradiation are factors
B. Rb gene mutation is associated with hereditary variant
C. c-myc gene implicated in the genesis
D. Codman's triangle is the characteristic x-ray finding
Answer:",c-myc gene implicated in the genesis
"Question: Osteosarcoma of the jaw:
Choices:
A. Occurs mostly in the maxilla
B. Seen in old age
C. Highly malignant tumour which shows early metastasis
D. Shows a soap bubble type of radiolucency in radiographs
Answer:",Highly malignant tumour which shows early metastasis
"Question: Osteosarcoma originates from which type of cells
Choices:
A. Osteocytes
B. Osteoblasts
C. Chondrocytes
D. Osteoclast
Answer:",Osteoblasts
"Question: Trigger finger occurs in -a) Rheumatoid athritisb) Traumac) Osteosarcomad) Osteoarthritis
Choices:
A. ac
B. ab
C. ad
D. bc
Answer:",ab
"Question: Regarding Osteosarcoma which one is true
Choices:
A. Affects people in 5th or 6th decade
B. Occurs due to proliferation of osteoclast
C. Lymphatic metastasis is most common
D. Sunray appearance indicates new bone-formation
Answer:",Sunray appearance indicates new bone-formation
"Question: A child is diagnosed with Osteosarcoma based on Sunray appearance seen on x-ray. This is because of
Choices:
A. Calcification along the periosteum
B. Calcification along the blood vessels
C. Perosteal reaction
D. Soft tissue invasion
Answer:",Perosteal reaction
"Question: Which of the following investigations is not required in Osteosarcoma?
Choices:
A. MRI
B. Bone marrow biopsy
C. CT chest
D. Bone scan
Answer:",Bone marrow biopsy
"Question: Not true about Osteosarcoma
Choices:
A. Associated with Hyperglycemia
B. Sun burst appearance on x-ray
C. Pulsatile bone tumor
D. Osteitis imperfecta has increased risk of transforming into osteosarcoma
Answer:",Osteitis imperfecta has increased risk of transforming into osteosarcoma
"Question: In treatment of Osteosarcoma all of the following are used except (REPEAT)
Choices:
A. High dose Methotrexate
B. Cycloohosphamide
C. Vincristine
D. Doxorubicin
Answer:",Vincristine
"Question: Most common site of metastases in case of Osteosarcoma DELETE
Choices:
A. Brain
B. Lungs
C. Liver
D. Bladder
Answer:",Lungs
"Question: X ray appearance of Osteosarcoma are all except
Choices:
A. Perosteal reaction
B. Codmnans triangle
C. Soap bubble
D. Sun ray appearance
Answer:",Soap bubble
"Question: Osteosarcoma is differentiated from myositis ossificans by radiology by:
Choices:
A. Location
B. Absence of osteomyelitic changes
C. Shape of swelling
D. Peripheral field of differentiation
Answer:",Peripheral field of differentiation
"Question: Dense calcification is found in -a) Osteosarcomab) Chondroblastomac) Synovial sarcomad) Osteoblastoma
Choices:
A. abd
B. bcd
C. abc
D. ab
Answer:",abd
"Question: Which carcinoma metastases to heart?a)  Ca breastb) Ca stomach c)  Ca lungd)  Ca urinary bladder  e) Osteosarcoma
Choices:
A. a
B. bc
C. ac
D. b
Answer:",ac
"Question: Sun ray appearance is seen in – a) Osteosarcomab) Ewing sarcomac) Osteoclastomad) Multiple myeloma
Choices:
A. ac
B. ab
C. ad
D. bc
Answer:",ab
"Question: Average time interval between radiation exposure and genesis of post radiation Osteosarcoma
Choices:
A. 2 yrs
B. 4 yrs
C. 8 yrs
D. 16 yrs
Answer:",16 yrs
"Question: A 15 year old boy presents was brought to OPD with a history of pain and swelling in the right thigh. Biopsy of the mass demonstrates Osteosarcoma. His mother was diagnosed with breast cancer 1 year ago and his maternal grandmother died of the breast cancer 10 years ago. The child has 3 younger siblings. Siblings are at an increased risk of developing which of the following cancer ?
Choices:
A. Wilms
B. Neuroblastoma
C. Hepatoblastoma
D. Glioma
Answer:",Glioma
"Question: Osteosarcoma characteristically may develop in some cases of
Choices:
A. Osteopetrosis
B. Osteogenesis irnperfecta
C. Acromegaly
D. Osteitis deformans
Answer:",Osteitis deformans
"Question: Bone forming tumors are -a) Osteosarcomab) Osteoid osteomac) Giant cell tumourd) Osteoblastomae) Chondrosarcoma
Choices:
A. abd
B. bcd
C. abc
D. ab
Answer:",abd
"Question: Lymph node metastasis is common in   a) Osteosarcoma  b) Fibrous histiocytoma  c) Angiosarcoma  d) Rhabdomyosarcoma
Choices:
A. abc
B. acd
C. cd
D. bd
Answer:",cd
"Question: Osteosarcoma can develop in:
Choices:
A. Osteoid osteoma
B. Osteoblastoma
C. Paget's disease
D. All of the above
Answer:",Paget's disease
"Question: Osteosarcoma commonly affects: September 2005
Choices:
A. Metaphysis
B. Diaphysis
C. Epiphysis
D. None of the above
Answer:",Metaphysis
"Question: A 35-year-old female presented to the medicine OPD with paresthesias and weakness of B/L lower limbs with a band like sensation of tightness around the torso along with painful loss of vision in both eyes along with diplopia and periorbital pain. There is a history of similar attacks in the past with period of normalcy in between O/E, Ataxia- present Papillitis (on fundus examination) Facial myokymia Bladder incontinence and constipation CSF studies revealed mononuclear cell pleocytosis along with increased IgG. Which of the following are the oral drugs approved for the above condition: - 1. Fingolimod 2. Natalizumab 3. Teriflunomide 4. Glatiramer acetate
Choices:
A. Only 1
B. Both 1 and 3
C. 1,2 and 3
D. All of the above
Answer:",Both 1 and 3
"Question: Mutation of which of the following gene is most impoant in Paroxysmal Nocturnal Hemoglobinuria
Choices:
A. Decay accelerating factor (DAF)
B. Membrane inhibitor of reactive lysis (MIRL)
C. Glycosyl phosphatidyl inositol (GPI)
D. CD8 binding protein
Answer:",Glycosyl phosphatidyl inositol (GPI)
"Question: The gold standard Lab test for diagnosis of PNH (Paroxysmal Nocturnal Hemoglobinuria) is?
Choices:
A. Ham test
B. Haptoglobin
C. Flow cytometry
D. Sucrose Lysis test
Answer:",Flow cytometry
